Gender;Nativelang;Otherlang;Age;Clicks1;Hits1;Misses1;Score1;Accuracy1;Missrate1;Clicks2;Hits2;Misses2;Score2;Accuracy2;Missrate2;Clicks3;Hits3;Misses3;Score3;Accuracy3;Missrate3;Clicks4;Hits4;Misses4;Score4;Accuracy4;Missrate4;Clicks5;Hits5;Misses5;Score5;Accuracy5;Missrate5;Clicks6;Hits6;Misses6;Score6;Accuracy6;Missrate6;Clicks7;Hits7;Misses7;Score7;Accuracy7;Missrate7;Clicks8;Hits8;Misses8;Score8;Accuracy8;Missrate8;Clicks9;Hits9;Misses9;Score9;Accuracy9;Missrate9;Clicks10;Hits10;Misses10;Score10;Accuracy10;Missrate10;Clicks11;Hits11;Misses11;Score11;Accuracy11;Missrate11;Clicks12;Hits12;Misses12;Score12;Accuracy12;Missrate12;Clicks13;Hits13;Misses13;Score13;Accuracy13;Missrate13;Clicks14;Hits14;Misses14;Score14;Accuracy14;Missrate14;Clicks15;Hits15;Misses15;Score15;Accuracy15;Missrate15;Clicks16;Hits16;Misses16;Score16;Accuracy16;Missrate16;Clicks17;Hits17;Misses17;Score17;Accuracy17;Missrate17;Clicks18;Hits18;Misses18;Score18;Accuracy18;Missrate18;Clicks19;Hits19;Misses19;Score19;Accuracy19;Missrate19;Clicks20;Hits20;Misses20;Score20;Accuracy20;Missrate20;Clicks21;Hits21;Misses21;Score21;Accuracy21;Missrate21;Clicks22;Hits22;Misses22;Score22;Accuracy22;Missrate22;Clicks23;Hits23;Misses23;Score23;Accuracy23;Missrate23;Clicks24;Hits24;Misses24;Score24;Accuracy24;Missrate24;Clicks25;Hits25;Misses25;Score25;Accuracy25;Missrate25;Clicks26;Hits26;Misses26;Score26;Accuracy26;Missrate26;Clicks27;Hits27;Misses27;Score27;Accuracy27;Missrate27;Clicks28;Hits28;Misses28;Score28;Accuracy28;Missrate28;Clicks29;Hits29;Misses29;Score29;Accuracy29;Missrate29;Clicks30;Hits30;Misses30;Score30;Accuracy30;Missrate30;Clicks31;Hits31;Misses31;Score31;Accuracy31;Missrate31;Clicks32;Hits32;Misses32;Score32;Accuracy32;Missrate32;Dyslexia
Female;No;No;7;1;1;0;1;1;0;3;3;0;3;1;0;1;0;1;1;0;1;2;2;0;2;1;0;3;3;0;3;1;0;1;0;1;1;0;1;1;1;0;1;1;0;3;3;0;3;1;0;2;2;0;2;1;0;2;2;0;2;1;0;1;1;0;1;1;0;3;3;0;3;1;0;NULL;NULL;NULL;NULL;NULL;NULL;3;3;0;3;1;0;1;1;0;1;1;0;3;3;0;3;1;0;3;3;0;3;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;5;5;0;5;1;0;3;2;1;3;0.666666667;0.333333333;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;11;0;1;11;0;0.090909091;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No
Male;No;No;7;8;8;0;8;1;0;7;7;0;7;1;0;6;6;0;6;1;0;2;2;0;2;1;0;4;3;1;4;0.75;0.25;5;5;0;5;1;0;5;5;0;5;1;0;4;4;0;4;1;0;2;2;0;2;1;0;4;4;0;4;1;0;3;3;0;3;1;0;2;2;0;2;1;0;NULL;NULL;NULL;NULL;NULL;NULL;5;5;0;5;1;0;1;0;1;1;0;1;3;3;0;3;1;0;5;5;0;5;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;5;3;2;5;0.6;0.4;6;6;0;6;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;21;1;3;21;0.047619048;0.142857143;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No
Female;No;No;7;3;3;0;3;1;0;4;4;0;4;1;0;3;3;0;3;1;0;3;3;0;3;1;0;3;0;3;3;0;1;3;3;0;3;1;0;2;2;0;2;1;0;4;4;0;4;1;0;3;1;2;3;0.333333333;0.666666667;2;0;2;2;0;1;2;2;0;2;1;0;4;4;0;4;1;0;NULL;NULL;NULL;NULL;NULL;NULL;4;4;0;4;1;0;1;1;0;1;1;0;3;3;0;3;1;0;3;3;0;3;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4;2;2;4;0.5;0.5;3;1;2;3;0.333333333;0.666666667;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8;0;0;8;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No
Female;No;No;7;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;1;0;1;1;0;1;1;0;1;1;0;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;1;0;1;1;0;1;1;1;0;1;1;0;NULL;NULL;NULL;NULL;NULL;NULL;1;1;0;1;1;0;1;0;1;1;0;1;2;1;1;2;0.5;0.5;2;2;0;2;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;0;1;1;0;3;2;1;3;0.666666667;0.333333333;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;11;1;1;11;0.090909091;0.090909091;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No
Female;No;No;7;3;3;0;3;1;0;3;3;0;3;1;0;2;0;2;2;0;1;1;0;1;1;0;1;3;3;0;3;1;0;2;2;0;2;1;0;5;5;0;5;1;0;2;0;2;2;0;1;3;1;2;3;0.333333333;0.666666667;4;2;2;4;0.5;0.5;2;1;1;2;0.5;0.5;3;3;0;3;1;0;NULL;NULL;NULL;NULL;NULL;NULL;2;2;0;2;1;0;4;3;1;4;0.75;0.25;4;4;0;4;1;0;3;3;0;3;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;5;1;4;5;0.2;0.8;4;2;2;4;0.5;0.5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;21;0;4;21;0;0.19047619;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No
Female;No;No;7;7;7;0;7;1;0;4;4;0;4;1;0;5;5;0;5;1;0;3;3;0;3;1;0;4;4;0;4;1;0;5;4;1;5;0.8;0.2;2;2;0;2;1;0;6;5;1;6;0.833333333;0.166666667;2;2;0;2;1;0;5;5;0;5;1;0;3;2;1;3;0.666666667;0.333333333;4;4;0;4;1;0;NULL;NULL;NULL;NULL;NULL;NULL;6;6;0;6;1;0;3;3;0;3;1;0;3;3;0;3;1;0;2;2;0;2;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;0;1;1;0;4;4;0;4;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;19;1;2;19;0.052631579;0.105263158;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No
Female;No;No;7;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;2;1;1;2;0.5;0.5;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;NULL;NULL;NULL;NULL;NULL;NULL;1;1;0;1;1;0;1;1;0;1;1;0;2;2;0;2;1;0;2;2;0;2;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2;2;0;2;1;0;2;2;0;2;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;11;0;0;11;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No
Female;Yes;Yes;7;5;2;3;5;0.4;0.6;4;3;1;4;0.75;0.25;3;2;1;3;0.666666667;0.333333333;5;1;4;5;0.2;0.8;2;2;0;2;1;0;2;2;0;2;1;0;3;3;0;3;1;0;3;2;1;3;0.666666667;0.333333333;2;1;1;2;0.5;0.5;4;3;1;4;0.75;0.25;2;2;0;2;1;0;2;2;0;2;1;0;NULL;NULL;NULL;NULL;NULL;NULL;2;2;0;2;1;0;2;2;0;2;1;0;2;2;0;2;1;0;1;0;1;1;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;5;1;4;5;0.2;0.8;5;1;4;5;0.2;0.8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;14;0;2;14;0;0.142857143;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No
Female;No;No;7;3;3;0;3;1;0;5;5;0;5;1;0;5;5;0;5;1;0;1;1;0;1;1;0;2;0;2;2;0;1;2;1;1;2;0.5;0.5;1;0;1;1;0;1;2;2;0;2;1;0;3;3;0;3;1;0;5;5;0;5;1;0;3;3;0;3;1;0;3;3;0;3;1;0;NULL;NULL;NULL;NULL;NULL;NULL;3;3;0;3;1;0;1;1;0;1;1;0;3;3;0;3;1;0;2;2;0;2;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;3;0;3;1;0;1;1;0;1;1;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;18;3;0;18;0.166666667;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No
Male;No;No;7;3;3;0;3;1;0;2;1;1;2;0.5;0.5;5;5;0;5;1;0;7;0;7;7;0;1;4;4;0;4;1;0;5;4;1;5;0.8;0.2;6;5;1;6;0.833333333;0.166666667;5;5;0;5;1;0;4;4;0;4;1;0;3;3;0;3;1;0;4;3;1;4;0.75;0.25;6;4;2;6;0.666666667;0.333333333;NULL;NULL;NULL;NULL;NULL;NULL;7;7;0;7;1;0;2;2;0;2;1;0;2;2;0;2;1;0;3;2;1;3;0.666666667;0.333333333;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;5;2;3;5;0.4;0.6;5;2;3;5;0.4;0.6;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;19;0;3;19;0;0.157894737;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No
